Geo Point;Geo Shape;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;mode_;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.858046054441715, 2.27415462837367;"{""coordinates"": [2.27415462837367, 48.858046054441715], ""type"": ""Point""}";109039;La Muette;;;71229;La Muette;45453;Boulainvilliers;A01542;C01379;METRO 9;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;646744.2366;6862245.8557
48.86251523404101, 2.3457858600391797;"{""coordinates"": [2.34578586003918, 48.86251523404101], ""type"": ""Point""}";104051;Les Halles;;;474151;Les Halles;45102;Châtelet les Halles;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652003.8587;6862696.8633
48.844456393634566, 2.440439978057246;"{""coordinates"": [2.440439978057246, 48.844456393634566], ""type"": ""Point""}";101033;Château de Vincennes;;;71634;Château de Vincennes;42582;Château de Vincennes;A01534;C01371;METRO 1;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;658933.7619;6860635.4943
48.84547070664901, 2.429205166347999;"{""coordinates"": [2.429205166347999, 48.84547070664901], ""type"": ""Point""}";101035;Bérault;;;71650;Bérault;42318;Bérault;A01534;C01371;METRO 1;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;658110.066;6860754.1783
48.877610186483444, 2.3708113953127445;"{""coordinates"": [2.370811395312745, 48.877610186483444], ""type"": ""Point""}";102049;Colonel Fabien;;;71893;Colonel Fabien;42732;Colonel Fabien;A01535;C01372;METRO 2;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653853.1813;6864360.3934
48.86525378511986, 2.3745819699964117;"{""coordinates"": [2.374581969996412, 48.86525378511986], ""type"": ""Point""}";103043;Parmentier;;;71801;Parmentier;58725;Parmentier;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654118.8397;6862984.2509
48.86865415090181, 2.341376051143573;"{""coordinates"": [2.341376051143573, 48.86865415090181], ""type"": ""Point""}";103055;Bourse;;;73635;Bourse;45101;Bourse;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651686.0361;6863382.1515
48.854936379230175, 2.347321318407715;"{""coordinates"": [2.347321318407715, 48.854936379230175], ""type"": ""Point""}";104055;Cité;;;71223;Cité;42639;Cité;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652109.5387;6861853.2274
48.852118352913315, 2.340170395543538;"{""coordinates"": [2.340170395543538, 48.852118352913315], ""type"": ""Point""}";104059;Odéon;;;73618;Odéon;58716;Odéon;A01537 / A01543;C01374 / C01380;METRO 4 / METRO 10;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651582.2317;6861544.2495
48.853718933065686, 2.3337761382184663;"{""coordinates"": [2.333776138218466, 48.853718933065686], ""type"": ""Point""}";104061;Saint-Germain-des-Prés;;;71216;Saint-Germain-des-Prés;44799;Saint-Germain-des-Prés;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651114.5389;6861726.1589
